name, code, section
깨끗한나라, A004540, 1
깨끗한나라우, A004545, 1
현대비앤지스틸, A004560, 1
현대비앤지스틸우, A004565, 1
삼천리, A004690, 1
조광피혁, A004700, 1
한솔테크닉스, A004710, 1
우리들제약, A004720, 1
써니전자, A004770, 1
효성, A004800, 1
덕성, A004830, 1
덕성우, A004835, 1
DRB동일, A004840, 1
티웨이홀딩스, A004870, 1
동일산업, A004890, 1
조광페인트, A004910, 1
씨아이테크, A004920, 1
한신공영, A004960, 1
신라교역, A004970, 1
성신양회, A004980, 1
성신양회우, A004985, 1
롯데지주, A004990, 1
롯데지주우, A00499K, 1
휴스틸, A005010, 1
부산주공, A005030, 1
코스모신소재, A005070, 1
삼광글라스, A005090, 1
한창, A005110, 1
빙그레, A005180, 1
동성화학, A005190, 1
녹십자홀딩스, A005250, 1
녹십자홀딩스2우, A005257, 1
롯데칠성, A005300, 1
롯데칠성우, A005305, 1
국동, A005320, 1
모나미, A005360, 1
현대차, A005380, 1
현대차우, A005385, 1
현대차2우B, A005387, 1
현대차3우B, A005389, 1
신성통상, A005390, 1
코스모화학, A005420, 1
한국공항, A005430, 1
현대그린푸드, A005440, 1
POSCO, A005490, 1
삼진제약, A005500, 1
SPC삼립, A005610, 1
삼영전자, A005680, 1
파미셀, A005690, 1
넥센, A005720, 1
넥센우, A005725, 1
크라운해태홀딩스, A005740, 1
크라운해태홀딩스우, A005745, 1
대림B&Co, A005750, 1
신영와코루, A005800, 1
풍산홀딩스, A005810, 1
원림, A005820, 1
DB손해보험, A005830, 1
에스엘, A005850, 1
휴니드, A005870, 1
대한해운, A005880, 1
삼성전자, A005930, 1
삼성전자우, A005935, 1
NH투자증권, A005940, 1
NH투자증권우, A005945, 1
이수화학, A005950, 1
동부건설, A005960, 1
동부건설우, A005965, 1
동원산업, A006040, 1
화승인더, A006060, 1
사조오양, A006090, 1
삼아알미늄, A006110, 1
SK디스커버리, A006120, 1
SK디스커버리우, A006125, 1
한국전자홀딩스, A006200, 1
제주은행, A006220, 1
LS, A006260, 1
녹십자, A006280, 1
대원전선, A006340, 1
대원전선우, A006345, 1
GS건설, A006360, 1
대구백화점, A006370, 1
카프로, A006380, 1
한일현대시멘트, A006390, 1
삼성SDI, A006400, 1
삼성SDI우, A006405, 1
인스코비, A006490, 1
대림통상, A006570, 1
대한유화, A006650, 1
삼성공조, A006660, 1
영풍제지, A006740, 1
미래에셋대우, A006800, 1
미래에셋대우우, A006805, 1
미래에셋대우2우B, A00680K, 1
AK홀딩스, A006840, 1
신송홀딩스, A006880, 1
태경케미컬, A006890, 1
우성사료, A006980, 1
GS리테일, A007070, 1
일신석재, A007110, 1
미래아이앤지, A007120, 1
사조산업, A007160, 1
벽산, A007210, 1
한국특수형강, A007280, 1
오뚜기, A007310, 1
디티알오토모티브, A007340, 1
에이프로젠 KIC, A007460, 1
샘표, A007540, 1
일양약품, A007570, 1
일양약품우, A007575, 1
동방아그로, A007590, 1
선도전기, A007610, 1
폴루스바이오팜, A007630, 1
이수페타시스, A007660, 1
국도화학, A007690, 1
F&F, A007700, 1
코리아써키트, A007810, 1
코리아써우, A007815, 1
코리아써키트2우B, A00781K, 1
