,date,close,diff,open,high,low,volume
176,2020-04-10,8100.0,300.0,7830.0,8200.0,7760.0,47787.0
177,2020-04-09,7800.0,200.0,7630.0,7850.0,7630.0,34936.0
178,2020-04-08,7600.0,270.0,7330.0,7740.0,7310.0,47733.0
181,2020-04-07,7330.0,330.0,7200.0,7650.0,7160.0,33258.0
182,2020-04-06,7000.0,120.0,7230.0,7230.0,6920.0,13276.0
183,2020-04-03,7120.0,110.0,6990.0,7120.0,6960.0,10142.0
184,2020-04-02,7010.0,180.0,6800.0,7040.0,6610.0,19560.0
185,2020-04-01,6830.0,30.0,6850.0,7140.0,6830.0,13355.0
189,2020-03-31,6800.0,190.0,6850.0,6860.0,6570.0,8044.0
190,2020-03-30,6610.0,360.0,6180.0,6690.0,6020.0,15417.0
191,2020-03-27,6250.0,60.0,6280.0,6400.0,6090.0,5112.0
192,2020-03-26,6190.0,50.0,6140.0,6380.0,6100.0,12048.0
193,2020-03-25,6140.0,440.0,5830.0,6500.0,5720.0,21201.0
196,2020-03-24,5700.0,110.0,5790.0,5790.0,5370.0,7738.0
197,2020-03-23,5590.0,320.0,5500.0,5900.0,5390.0,7471.0
198,2020-03-20,5910.0,590.0,5500.0,6000.0,5320.0,12571.0
199,2020-03-19,5320.0,1080.0,6240.0,6490.0,4950.0,41302.0
200,2020-03-18,6400.0,200.0,6610.0,6730.0,6300.0,14425.0
204,2020-03-17,6600.0,150.0,6390.0,6600.0,6110.0,10279.0
205,2020-03-16,6450.0,0.0,6450.0,6800.0,6450.0,12910.0
206,2020-03-13,6450.0,400.0,6150.0,6740.0,6130.0,17159.0
207,2020-03-12,6850.0,140.0,6990.0,7160.0,6710.0,22549.0
208,2020-03-11,6990.0,10.0,6920.0,7240.0,6910.0,18047.0
211,2020-03-10,7000.0,60.0,7040.0,7060.0,6810.0,11339.0
212,2020-03-09,7060.0,160.0,7300.0,7300.0,6930.0,12478.0
213,2020-03-06,7220.0,20.0,7210.0,7330.0,7130.0,4497.0
214,2020-03-05,7200.0,40.0,7170.0,7290.0,7150.0,6800.0
215,2020-03-04,7160.0,110.0,7050.0,7180.0,6890.0,8654.0
219,2020-03-03,7050.0,90.0,7090.0,7090.0,6960.0,2720.0
220,2020-03-02,6960.0,30.0,6920.0,6990.0,6750.0,12359.0
221,2020-02-28,6990.0,70.0,7160.0,7160.0,6900.0,13810.0
222,2020-02-27,7060.0,110.0,7050.0,7200.0,7050.0,11153.0
223,2020-02-26,7170.0,0.0,7160.0,7180.0,7090.0,6274.0
226,2020-02-25,7170.0,60.0,7100.0,7260.0,7090.0,3433.0
227,2020-02-24,7230.0,60.0,7290.0,7290.0,7010.0,22391.0
228,2020-02-21,7290.0,90.0,7280.0,7390.0,7170.0,25951.0
229,2020-02-20,7200.0,70.0,7140.0,7340.0,7140.0,9687.0
230,2020-02-19,7270.0,30.0,7190.0,7310.0,7150.0,3535.0
234,2020-02-18,7240.0,30.0,7210.0,7300.0,7180.0,4285.0
235,2020-02-17,7210.0,40.0,7430.0,7450.0,7150.0,5289.0
236,2020-02-14,7250.0,20.0,7220.0,7370.0,7200.0,5486.0
237,2020-02-13,7230.0,60.0,7240.0,7370.0,7200.0,14735.0
238,2020-02-12,7290.0,10.0,7300.0,7380.0,7210.0,11739.0
241,2020-02-11,7300.0,130.0,7200.0,7360.0,7200.0,4721.0
